sensor_id;sensor_type;location;lat;lon;timestamp;temperature;humidity
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:01:53;13.00;98.90
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:04:23;13.00;99.00
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:06:53;13.00;99.70
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:09:24;13.00;99.90
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:11:53;12.90;99.90
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:14:23;12.90;98.80
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:16:53;12.90;98.70
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:19:24;12.80;98.50
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:21:53;12.80;99.30
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:24:23;12.80;99.90
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:26:53;12.70;99.90
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:29:23;12.70;99.90
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:31:53;12.70;99.90
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:34:24;12.60;99.90
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:36:53;12.50;99.90
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:39:23;12.40;99.90
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:41:52;12.30;99.90
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:44:23;12.30;99.70
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:46:53;12.40;99.60
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:49:23;12.40;99.90
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:51:53;12.30;99.30
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:54:23;12.30;99.80
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:56:53;12.30;99.30
25556;DHT22;13447;57.174;-2.112;2019-06-16T00:59:23;12.20;99.00
